date,admission_revenue,is_weekday,is_holiday,receipt_rows,distinct_receipts,first_receipt_hour,last_receipt_hour,actual_tickets,temperature_high,temperature_low,average_temperature,precipitation,precipitation_reported,weather_condition,wind_speed,humidity,weather_hour_count,year,month_number,month_name,week_of_year,day_of_month,day_of_week,day_of_week_number,is_weekend,season,days_since_season_open,days_until_season_close,precipitation_indicator,temperature_band,seven_day_rolling_average,prior_operating_day_attendance,attendance_change_from_prior_day,attendance_percent_change_from_prior_day,attendance_category,operating_status
2024-06-28,522.0,1,False,27,27,14,16,87,97.27,80.06,90.08222222222223,0.0,False,sky is clear,11.5,27.88888888888889,9.0,2024,6,June,26,28,Friday,5,False,Early season,43,64,False,95 and above,276.7142857142857,163.0,-76.0,-46.62576687116564,Low,Observed operating date
2024-06-29,5760.0,0,False,210,210,12,17,640,97.57,79.07,90.63333333333334,0.0,False,sky is clear,20.71,28.77777777777778,9.0,2024,6,June,26,29,Saturday,6,True,Early season,44,63,False,95 and above,256.2857142857143,87.0,553.0,635.6321839080459,Very High,Observed operating date
2024-06-30,4311.0,0,False,137,137,12,16,479,96.93,83.73,91.48444444444445,0.0,False,sky is clear,17.27,29.666666666666668,9.0,2024,6,June,26,30,Sunday,7,True,Early season,45,62,False,95 and above,277.2857142857143,640.0,-161.0,-25.156250000000004,Very High,Observed operating date
2024-07-01,2287.0,1,False,120,120,14,16,381,102.56,84.81,95.14666666666666,0.0,False,sky is clear,13.8,26.0,9.0,2024,7,July,27,1,Monday,1,False,Peak season,46,61,False,95 and above,304.0,479.0,-98.0,-20.459290187891444,High,Observed operating date
2024-07-02,840.0,1,False,46,46,14,16,140,109.4,92.71,102.47666666666666,0.0,False,sky is clear,12.66,18.22222222222222,9.0,2024,7,July,27,2,Tuesday,2,False,Peak season,47,60,False,95 and above,298.57142857142856,381.0,-241.0,-63.254593175853024,Typical,Observed operating date
2024-07-04,6914.0,1,True,238,238,12,17,1152,106.93,90.86,100.44444444444444,0.0,False,sky is clear,19.57,21.22222222222222,9.0,2024,7,July,27,4,Thursday,4,False,Peak season,49,58,False,95 and above,434.57142857142856,140.0,1012.0,722.8571428571428,Very High,Observed operating date
2024-07-05,546.0,1,False,27,27,14,15,91,108.93,90.28,102.17222222222222,0.0,False,sky is clear,13.8,21.88888888888889,9.0,2024,7,July,27,5,Friday,5,False,Peak season,50,57,False,95 and above,424.2857142857143,1152.0,-1061.0,-92.10069444444444,Low,Observed operating date
2024-07-06,1374.0,0,False,54,54,12,13,152,112.71,93.27,103.97222222222223,22.86,True,sky is clear,8.05,25.22222222222222,9.0,2024,7,July,27,6,Saturday,6,True,Peak season,51,56,True,95 and above,433.57142857142856,91.0,61.0,67.03296703296704,Typical,Observed operating date
2024-07-07,3835.0,0,False,142,142,12,17,426,104.56,87.4,98.32666666666667,0.0,False,sky is clear,27.63,29.444444444444443,9.0,2024,7,July,27,7,Sunday,7,True,Peak season,52,55,False,95 and above,403.0,152.0,274.0,180.26315789473685,Very High,Observed operating date
2024-07-08,180.0,1,False,10,10,16,16,30,100.27,84.06,94.22,0.0,False,sky is clear,19.57,32.44444444444444,9.0,2024,7,July,28,8,Monday,1,False,Peak season,53,54,False,95 and above,338.85714285714283,426.0,-396.0,-92.95774647887323,Low,Observed operating date
2024-07-09,300.0,1,False,16,16,14,16,50,95.56,78.44,88.75222222222222,0.0,False,sky is clear,20.71,38.111111111111114,9.0,2024,7,July,28,9,Tuesday,2,False,Peak season,54,53,False,95 and above,291.57142857142856,30.0,20.0,66.66666666666667,Low,Observed operating date
2024-07-10,1260.0,1,False,73,73,14,17,210,106.93,84.85,98.1588888888889,0.0,False,sky is clear,10.36,26.88888888888889,9.0,2024,7,July,28,10,Wednesday,3,False,Peak season,55,52,False,95 and above,301.57142857142856,50.0,160.0,320.0,Typical,Observed operating date
2024-07-12,438.0,1,False,21,21,14,16,73,107.28,92.82,101.40777777777778,0.0,False,sky is clear,10.36,24.666666666666668,9.0,2024,7,July,28,12,Friday,5,False,Peak season,57,50,False,95 and above,147.42857142857142,210.0,-137.0,-65.23809523809524,Low,Observed operating date
2024-07-13,4752.0,0,False,145,145,12,17,528,96.71,80.85,89.91666666666667,0.0,False,sky is clear,21.85,32.888888888888886,9.0,2024,7,July,28,13,Saturday,6,True,Peak season,58,49,False,95 and above,209.85714285714286,73.0,455.0,623.2876712328766,Very High,Observed operating date
2024-07-14,2819.0,0,False,112,112,12,17,313,95.56,76.06,88.16666666666667,0.0,False,sky is clear,11.99,33.888888888888886,9.0,2024,7,July,28,14,Sunday,7,True,Peak season,59,48,False,95 and above,232.85714285714286,528.0,-215.0,-40.71969696969697,High,Observed operating date
2024-07-15,1148.0,1,False,32,32,14,16,191,91.26,73.69,85.76777777777778,0.0,False,sky is clear,19.57,31.333333333333332,9.0,2024,7,July,29,15,Monday,1,False,Peak season,60,47,False,85 to 94,199.28571428571428,313.0,-122.0,-38.9776357827476,Typical,Observed operating date
2024-07-16,1318.0,1,False,69,69,14,17,219,89.06,69.28,82.12222222222222,0.0,False,sky is clear,20.71,33.111111111111114,9.0,2024,7,July,29,16,Tuesday,2,False,Peak season,61,46,False,85 to 94,226.28571428571428,191.0,28.0,14.659685863874339,Typical,Observed operating date
2024-07-17,1152.0,1,False,53,53,14,17,192,93.06,72.28,85.76111111111112,0.0,False,sky is clear,12.66,36.111111111111114,9.0,2024,7,July,29,17,Wednesday,3,False,Peak season,62,45,False,85 to 94,246.57142857142858,219.0,-27.0,-12.328767123287676,Typical,Observed operating date
2024-07-18,1010.0,1,False,44,44,14,17,168,101.93,81.73,94.7811111111111,0.0,False,sky is clear,13.8,27.333333333333332,9.0,2024,7,July,29,18,Thursday,4,False,Peak season,63,44,False,95 and above,240.57142857142858,192.0,-24.0,-12.5,Typical,Observed operating date
